Genome	Description	TotalLength
GCF_000017865.1	EAEGIGGI_00435 Adenine deaminase	385
GCF_000018105.1	EAEIGAKP_00719 hypothetical protein	60
GCF_000018105.1	EAEIGAKP_07001 hypothetical protein	204
GCF_000018105.1	EAEIGAKP_02293 Phosphoenolpyruvate guanylyltransferase	234
GCF_000018105.1	EAEIGAKP_00854 hypothetical protein	141
GCF_000018105.1	EAEIGAKP_01613 Phosphoglycolate phosphatase	236
GCF_023156195.1	EAEILIAK_06723 hypothetical protein	49
GCF_023156195.1	EAEILIAK_06125 Ferredoxin-dependent glutamate synthase 1	203
GCF_023156195.1	EAEILIAK_01068 Transcriptional regulatory protein YpdB	178
GCF_023156195.1	EAEILIAK_07276 hypothetical protein	186
GCF_023156195.1	EAEILIAK_02487 hypothetical protein	53
GCF_001758465.1	EAFFJBHL_01128 Flagellar secretion chaperone FliS	142
GCF_001758465.1	EAFFJBHL_02807 hypothetical protein	134
GCF_001758465.1	EAFFJBHL_01204 hypothetical protein	300
GCF_001758465.1	EAFFJBHL_04459 hypothetical protein	96
GCF_001758465.1	EAFFJBHL_01061 Anaerobic nitric oxide reductase transcription regulator NorR	553
GCF_011761605.1	EAFGAJHD_07596 hypothetical protein	189
GCF_011761605.1	EAFGAJHD_07721 hypothetical protein	122
GCF_011761605.1	EAFGAJHD_06141 High-affinity branched-chain amino acid transport system permease protein LivH	295
GCF_011761605.1	EAFGAJHD_00872 Putative xanthine dehydrogenase molybdenum-binding subunit XdhA	779
GCF_011761605.1	EAFGAJHD_04848 Linearmycin resistance permease protein LnrM	388
GCF_004341375.1	EAFHFOPJ_01654 Acetophenone carboxylase gamma subunit	735
GCF_004341375.1	EAFHFOPJ_01992 hypothetical protein	59
GCF_004341375.1	EAFHFOPJ_00937 hypothetical protein	188
GCF_004341375.1	EAFHFOPJ_00216 Glycerol kinase	497
GCF_004341375.1	EAFHFOPJ_01896 hypothetical protein	108
GCF_000739935.1	EAFKGPHM_01815 Zinc transport protein ZntB	331
GCF_000739935.1	EAFKGPHM_04557 Phosphoglucosamine mutase	471
GCF_000739935.1	EAFKGPHM_04564 2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	334
GCF_000739935.1	EAFKGPHM_04188 hypothetical protein	200
GCF_000739935.1	EAFKGPHM_03935 HTH-type transcriptional regulator RpiR	291
GCF_003697345.1	EAFLIFFO_02413 Trans-aconitate 2-methyltransferase	198
GCF_003697345.1	EAFLIFFO_00915 hypothetical protein	57
GCF_003697345.1	EAFLIFFO_01260 Aconitate hydratase A	871
GCF_003697345.1	EAFLIFFO_00876 putative 3-hydroxyacyl-CoA dehydrogenase	790
GCF_003697345.1	EAFLIFFO_01554 Protein Ves	194
GCF_900182665.1	EAFOACNG_01201 hypothetical protein	378
GCF_900182665.1	EAFOACNG_00117 HTH-type transcriptional regulator BetI	208
GCF_900182665.1	EAFOACNG_02646 50S ribosomal protein L13	147
GCF_900182665.1	EAFOACNG_02583 DNA-directed RNA polymerase subunit beta	1157
GCF_900182665.1	EAFOACNG_02011 hypothetical protein	153
GCF_000498575.2	EAGEAGFL_04371 Aerobic glycerol-3-phosphate dehydrogenase	528
GCF_000498575.2	EAGEAGFL_01413 hypothetical protein	155
GCF_000498575.2	EAGEAGFL_03249 hypothetical protein	88
GCF_000498575.2	EAGEAGFL_04708 hypothetical protein	174
GCF_000498575.2	EAGEAGFL_02315 hypothetical protein	216
GCF_900107035.1	EAGINEMF_00590 Spore germination protein B1	600
GCF_900107035.1	EAGINEMF_02854 NAD-dependent glycerol dehydrogenase	254
GCF_900107035.1	EAGINEMF_01136 Polyamine aminopropyltransferase	245
GCF_900107035.1	EAGINEMF_01846 Tyrosine-protein phosphatase YwqE	261
GCF_900107035.1	EAGINEMF_01572 Putative cysteine ligase BshC	544
GCF_900116825.1	EAGJGPGK_00712 hypothetical protein	120
GCF_900116825.1	EAGJGPGK_02463 Gamma-glutamyl phosphate reductase	426
GCF_900116825.1	EAGJGPGK_02602 Dual-specificity RNA pseudouridine synthase RluA	234
GCF_900116825.1	EAGJGPGK_00122 hypothetical protein	179
GCF_900116825.1	EAGJGPGK_01868 Ubiquinone biosynthesis accessory factor UbiJ	187
GCF_009662475.1	EAGPDCNA_01247 hypothetical protein	29
GCF_009662475.1	EAGPDCNA_01808 hypothetical protein	211
GCF_009662475.1	EAGPDCNA_01721 Carbamoyltransferase HypF	803
GCF_009662475.1	EAGPDCNA_02392 hypothetical protein	99
GCF_009662475.1	EAGPDCNA_01768 hypothetical protein	143
GCF_016907435.1	EAHAMDKO_03580 Selenocysteine-specific elongation factor	594
GCF_016907435.1	EAHAMDKO_03242 Lipoprotein LpqB	587
GCF_016907435.1	EAHAMDKO_01442 hypothetical protein	113
GCF_016907435.1	EAHAMDKO_03153 Purine nucleoside phosphorylase	279
GCF_016907435.1	EAHAMDKO_01603 Inorganic pyrophosphatase	163
GCF_002835805.1	EAHBPCBB_01580 Na(+)/H(+) antiporter subunit B	141
GCF_002835805.1	EAHBPCBB_00617 UTP--glucose-1-phosphate uridylyltransferase	297
GCF_002835805.1	EAHBPCBB_03870 GTP cyclohydrolase 1 type 2	371
GCF_002835805.1	EAHBPCBB_04355 putative ABC transporter ATP-binding protein YbiT	539
GCF_002835805.1	EAHBPCBB_02688 ATP synthase subunit b	99
GCF_002216005.1	EAHEDODE_00968 30S ribosomal protein S16	81
GCF_002216005.1	EAHEDODE_01616 hypothetical protein	144
GCF_002216005.1	EAHEDODE_00315 Aerobic C4-dicarboxylate transport protein	401
GCF_002216005.1	EAHEDODE_01179 hypothetical protein	234
GCF_002216005.1	EAHEDODE_00426 Release factor glutamine methyltransferase	287
GCF_003987065.1	EAHEMDOH_00521 Ion-translocating oxidoreductase complex subunit C	527
GCF_003987065.1	EAHEMDOH_01624 Bacterioferritin	156
GCF_003987065.1	EAHEMDOH_00093 putative protein	158
GCF_003987065.1	EAHEMDOH_00885 hypothetical protein	112
GCF_003987065.1	EAHEMDOH_01695 hypothetical protein	84
GCA_004297925.1	EAHNCPGP_04604 hypothetical protein	639
GCA_004297925.1	EAHNCPGP_03758 hypothetical protein	132
GCA_004297925.1	EAHNCPGP_03261 hypothetical protein	117
GCA_004297925.1	EAHNCPGP_02089 D-amino acid dehydrogenase	413
GCA_004297925.1	EAHNCPGP_00664 hypothetical protein	119
GCA_003447065.1	EAHOFGGM_00985 hypothetical protein	114
GCA_003447065.1	EAHOFGGM_01636 Glycerophosphodiester phosphodiesterase, periplasmic	349
GCA_003447065.1	EAHOFGGM_00407 hypothetical protein	597
GCA_003447065.1	EAHOFGGM_02115 ATP-dependent RNA helicase HrpB	49
GCA_003447065.1	EAHOFGGM_01185 hypothetical protein	165
GCA_019412765.1	EAIPCPBI_01869 hypothetical protein	77
GCA_019412765.1	EAIPCPBI_02740 hypothetical protein	145
GCA_019412765.1	EAIPCPBI_01197 hypothetical protein	527
GCA_019412765.1	EAIPCPBI_03474 Diaminopimelate epimerase	286
GCA_019412765.1	EAIPCPBI_01054 Exodeoxyribonuclease 7 large subunit	442
GCF_004217095.1	EAJBFJIB_03607 hypothetical protein	134
GCF_004217095.1	EAJBFJIB_04387 2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)	867
GCF_004217095.1	EAJBFJIB_03820 Pseudopaline exporter CntI	294
GCF_004217095.1	EAJBFJIB_01973 Co-chaperone protein HscB	175
GCF_004217095.1	EAJBFJIB_02868 Pca operon regulatory protein	241
GCF_010731615.1	EAJGNNKH_02681 Geranial dehydrogenase	489
GCF_010731615.1	EAJGNNKH_01936 D-alanyl-D-alanine carboxypeptidase	530
GCF_010731615.1	EAJGNNKH_02876 tRNA 5-hydroxyuridine methyltransferase	250
GCF_010731615.1	EAJGNNKH_00169 hypothetical protein	192
GCF_010731615.1	EAJGNNKH_02087 Methionine aminopeptidase 2	288
GCA_018063935.1	EAKKJLAA_01305 hypothetical protein	132
GCA_018063935.1	EAKKJLAA_01037 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	157
GCA_018063935.1	EAKKJLAA_00245 DNA gyrase subunit A	885
GCA_018063935.1	EAKKJLAA_01550 Ribosomal RNA small subunit methyltransferase E	239
GCA_018063935.1	EAKKJLAA_00990 Sulfoacetaldehyde reductase	274
GCF_003609715.1	EAKLNFLE_02667 Nucleotide-binding protein	301
GCF_003609715.1	EAKLNFLE_02498 HTH-type transcriptional regulator KmtR	124
GCF_003609715.1	EAKLNFLE_00455 Cocaine esterase	548
GCF_003609715.1	EAKLNFLE_00324 2-isopropylmalate synthase	607
GCF_003609715.1	EAKLNFLE_02217 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	318
GCA_019105055.1	EAKONFJH_02243 Translation initiation factor IF-1	86
GCA_019105055.1	EAKONFJH_01626 Holliday junction ATP-dependent DNA helicase RuvA	190
GCA_019105055.1	EAKONFJH_01683 hypothetical protein	165
GCA_019105055.1	EAKONFJH_00741 Methionine aminopeptidase	310
GCA_019105055.1	EAKONFJH_02374 Serine/threonine-protein kinase PknD	456
GCF_009648935.1	EALAHJBJ_00685 Oligogalacturonate-specific porin KdgM	226
GCF_009648935.1	EALAHJBJ_02823 L-carnitine/gamma-butyrobetaine antiporter	533
GCF_009648935.1	EALAHJBJ_02235 Sulfate transport system permease protein CysW	291
GCF_009648935.1	EALAHJBJ_00018 2-epi-5-epi-valiolone epimerase	129
GCF_009648935.1	EALAHJBJ_02684 Protein DsrB	62
GCF_003025005.1	EALGCGKH_01230 GTP-binding protein TypA/BipA	599
GCF_003025005.1	EALGCGKH_03121 putative chromate transport protein	371
GCF_003025005.1	EALGCGKH_00940 1,2-phenylacetyl-CoA epoxidase, subunit E	357
GCF_003025005.1	EALGCGKH_02126 Putative acetyltransferase	229
GCF_003025005.1	EALGCGKH_00452 hypothetical protein	127
GCF_001435345.1	EAMFGEIE_00835 Elongation factor Ts	291
GCF_001435345.1	EAMFGEIE_00970 hypothetical protein	75
GCF_001435345.1	EAMFGEIE_01431 hypothetical protein	184
GCF_001435345.1	EAMFGEIE_01081 GMP synthase [glutamine-hydrolyzing]	518
GCF_001435345.1	EAMFGEIE_00799 hypothetical protein	94
GCF_000754095.2	EAMLCOFH_01386 putative transcriptional regulatory protein	250
GCF_000754095.2	EAMLCOFH_01128 hypothetical protein	353
GCF_000754095.2	EAMLCOFH_02005 10 kDa chaperonin	96
GCF_000754095.2	EAMLCOFH_00909 Signal transduction histidine-protein kinase AtoS	411
GCF_000754095.2	EAMLCOFH_02098 hypothetical protein	129
GCA_018006095.1	EAOHPMCE_01466 tRNA (guanine-N(1)-)-methyltransferase	225
GCA_018006095.1	EAOHPMCE_00213 Sulfate adenylyltransferase subunit 2	302
GCA_018006095.1	EAOHPMCE_01673 Membrane-bound lytic murein transglycosylase F	463
GCA_018006095.1	EAOHPMCE_01693 Thioredoxin C-2	99
GCA_018006095.1	EAOHPMCE_02239 hypothetical protein	484
GCF_003350585.1	EAOJDBLB_07940 hypothetical protein	298
GCF_003350585.1	EAOJDBLB_05475 hypothetical protein	105
GCF_003350585.1	EAOJDBLB_02631 Nicotine blue oxidoreductase	210
GCF_003350585.1	EAOJDBLB_03932 hypothetical protein	286
GCF_003350585.1	EAOJDBLB_00226 UTP--glucose-1-phosphate uridylyltransferase	364
GCF_003385775.1	EAOPDBMM_00497 Tyrosine--tRNA ligase	422
GCF_003385775.1	EAOPDBMM_01387 hypothetical protein	170
GCF_003385775.1	EAOPDBMM_02520 hypothetical protein	317
GCF_003385775.1	EAOPDBMM_01891 Rubrerythrin	141
GCF_003385775.1	EAOPDBMM_01921 Phenylacetone monooxygenase	556
GCF_014642855.1	EAPACPHP_02934 putative glucarate transporter	432
GCF_014642855.1	EAPACPHP_03105 hypothetical protein	102
GCF_014642855.1	EAPACPHP_02605 Iron-sulfur cluster assembly scaffold protein IscU	138
GCF_014642855.1	EAPACPHP_03375 Cobalt-zinc-cadmium resistance protein CzcC	439
GCF_014642855.1	EAPACPHP_03452 hypothetical protein	101
GCF_900215655.1	EAPAKKBG_01114 hypothetical protein	106
GCF_900215655.1	EAPAKKBG_00222 Isoprenyl transferase	232
GCF_900215655.1	EAPAKKBG_00544 hypothetical protein	109
GCF_900215655.1	EAPAKKBG_00290 Ferredoxin-1	96
GCF_900215655.1	EAPAKKBG_00456 Selenide, water dikinase	310
GCF_020532725.1	EBABHJBI_00002 hypothetical protein	221
GCF_020532725.1	EBABHJBI_02843 hypothetical protein	89
GCF_020532725.1	EBABHJBI_02788 hypothetical protein	82
GCF_020532725.1	EBABHJBI_02834 High-affinity branched-chain amino acid transport system permease protein LivH	295
GCF_020532725.1	EBABHJBI_01857 Phosphoribosyl-ATP pyrophosphatase	106
GCF_003751625.1	EBAFADDM_02283 hypothetical protein	479
GCF_003751625.1	EBAFADDM_00017 hypothetical protein	115
GCF_003751625.1	EBAFADDM_00291 Beta-barrel assembly-enhancing protease	259
GCF_003751625.1	EBAFADDM_03767 tRNA/tmRNA (uracil-C(5))-methyltransferase	366
GCF_003751625.1	EBAFADDM_00527 Vitamin B12 import system permease protein BtuC	141
GCF_000741575.1	EBAIEDAN_00111 Glutathione transport system permease protein GsiD	317
GCF_000741575.1	EBAIEDAN_00203 Bacitracin export ATP-binding protein BceA	281
GCF_000741575.1	EBAIEDAN_00024 N-acetylgalactosamine-6-phosphate deacetylase	347
GCF_000741575.1	EBAIEDAN_00287 hypothetical protein	96
GCF_000741575.1	EBAIEDAN_01935 PTS system beta-glucoside-specific EIIBCA component	715
GCF_016595415.1	EBAILKJJ_02034 Bifunctional sulfatase/alpha-L-rhamnosidase	540
GCF_016595415.1	EBAILKJJ_03039 hypothetical protein	290
GCF_016595415.1	EBAILKJJ_01613 hypothetical protein	306
GCF_016595415.1	EBAILKJJ_01473 RNA polymerase sigma factor FliA	181
GCF_016595415.1	EBAILKJJ_01747 multidrug efflux RND transporter permease subunit OqxB12	1048
GCF_016026875.1	EBBBHMEO_00149 30S ribosomal protein S7	156
GCF_016026875.1	EBBBHMEO_01686 Glucosidase YgjK	826
GCF_016026875.1	EBBBHMEO_01446 Maltose O-acetyltransferase	187
GCF_016026875.1	EBBBHMEO_00271 Putrescine--pyruvate aminotransferase	453
GCF_016026875.1	EBBBHMEO_01171 NADH pyrophosphatase	166
GCF_001436695.1	EBBEPKDP_01237 hypothetical protein	137
GCF_001436695.1	EBBEPKDP_00162 hypothetical protein	292
GCF_001436695.1	EBBEPKDP_00439 HTH-type transcriptional regulator CatM	282
GCF_001436695.1	EBBEPKDP_01765 hypothetical protein	96
GCF_001436695.1	EBBEPKDP_00426 Adenine phosphoribosyltransferase	175
GCF_001438655.1	EBBFGDNE_00506 hypothetical protein	221
GCF_001438655.1	EBBFGDNE_00017 Trigger factor	442
GCF_001438655.1	EBBFGDNE_00998 Inner membrane protein YbiR	368
GCF_001438655.1	EBBFGDNE_00676 hypothetical protein	476
GCF_001438655.1	EBBFGDNE_00508 Valine--tRNA ligase	887
GCF_000006945.2	EBBPGFGJ_01070 hypothetical protein	231
GCF_000006945.2	EBBPGFGJ_03394 Cell shape-determining protein MreC	350
GCF_000006945.2	EBBPGFGJ_03245 Inner membrane protein YqjA	220
GCF_000006945.2	EBBPGFGJ_04403 hypothetical protein	91
GCF_000006945.2	EBBPGFGJ_04165 Elongation factor Tu 1	394
GCF_900178525.1	EBCFDIBL_00830 HTH-type transcriptional regulator BetI	184
GCF_900178525.1	EBCFDIBL_01677 hypothetical protein	380
GCF_900178525.1	EBCFDIBL_01082 ECF RNA polymerase sigma factor SigW	180
GCF_900178525.1	EBCFDIBL_02167 ATP-dependent helicase/deoxyribonuclease subunit B	958
GCF_900178525.1	EBCFDIBL_02721 Ion-translocating oxidoreductase complex subunit B	252
GCF_001277915.1	EBCGCKOM_02357 hypothetical protein	498
GCF_001277915.1	EBCGCKOM_01862 Glutamine synthetase	444
GCF_001277915.1	EBCGCKOM_01405 Arginine-binding extracellular protein ArtP	259
GCF_001277915.1	EBCGCKOM_02997 Tyrosine recombinase XerC	180
GCF_001277915.1	EBCGCKOM_00245 Release factor glutamine methyltransferase	283
GCF_000234825.3	EBDANMPH_00938 hypothetical protein	188
GCF_000234825.3	EBDANMPH_00613 Pantothenate transporter PanT	204
GCF_000234825.3	EBDANMPH_01917 Elongation factor 4	218
GCF_000234825.3	EBDANMPH_00805 Ribonuclease Y	270
GCF_000234825.3	EBDANMPH_00238 ComF operon protein 1	426
GCF_000024925.1	EBDDGIHO_02927 HTH-type transcriptional regulator MalT	992
GCF_000024925.1	EBDDGIHO_01450 Arsenical-resistance protein Acr3	371
GCF_000024925.1	EBDDGIHO_01447 Thioredoxin reductase	332
GCF_000024925.1	EBDDGIHO_03681 Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4	331
GCF_000024925.1	EBDDGIHO_00737 NADH-quinone oxidoreductase subunit 11	99
GCF_001421015.2	EBDNKLEN_03411 Beta-galactosidase	869
GCF_001421015.2	EBDNKLEN_00658 Lysine--tRNA ligase	512
GCF_001421015.2	EBDNKLEN_00599 hypothetical protein	83
GCF_001421015.2	EBDNKLEN_01905 Gamma-glutamylputrescine oxidoreductase	414
GCF_001421015.2	EBDNKLEN_01970 hypothetical protein	273
GCF_001191605.1	EBDPGFHJ_02756 FMN-dependent NADH-azoreductase	206
GCF_001191605.1	EBDPGFHJ_03367 3-hexulose-6-phosphate isomerase	185
GCF_001191605.1	EBDPGFHJ_03354 putative ABC transporter ATP-binding protein YxlF	222
GCF_001191605.1	EBDPGFHJ_03554 putative enoyl-CoA hydratase	259
GCF_001191605.1	EBDPGFHJ_02733 Small, acid-soluble spore protein O	48
GCF_000312445.1	EBDPLDFP_00160 hypothetical protein	248
GCF_000312445.1	EBDPLDFP_00909 Ribosomal protein S12 methylthiotransferase RimO	432
GCF_000312445.1	EBDPLDFP_01160 L-serine dehydratase TdcG	402
GCF_000312445.1	EBDPLDFP_00591 hypothetical protein	191
GCF_000312445.1	EBDPLDFP_01338 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	393
GCF_000379025.1	EBECGFIO_03174 hypothetical protein	76
GCF_000379025.1	EBECGFIO_02623 Penicillin-binding protein 2D	792
GCF_000379025.1	EBECGFIO_00792 IS30 family transposase ISHahy9	349
GCF_000379025.1	EBECGFIO_02799 3-dehydroquinate synthase	363
GCF_000379025.1	EBECGFIO_02874 hypothetical protein	148
GCF_002838765.1	EBEDHPAE_00143 hypothetical protein	110
GCF_002838765.1	EBEDHPAE_02012 hypothetical protein	795
GCF_002838765.1	EBEDHPAE_00809 Intracellular septation protein	195
GCF_002838765.1	EBEDHPAE_00448 Transcription elongation factor GreB	162
GCF_002838765.1	EBEDHPAE_01006 Succinyl-CoA:3-ketoacid coenzyme A transferase subunit A	233
GCF_900155965.1	EBEFDBLF_00171 TonB-dependent receptor P3	1054
GCF_900155965.1	EBEFDBLF_04256 Oxygen-dependent choline dehydrogenase	63
GCF_900155965.1	EBEFDBLF_04410 hypothetical protein	60
GCF_900155965.1	EBEFDBLF_05754 Ribosomal protein L11 methyltransferase	278
GCF_900155965.1	EBEFDBLF_02236 Arabinose operon regulatory protein	301
GCF_002005145.1	EBEJJCJI_00049 Propanediol utilization protein PduA	96
GCF_002005145.1	EBEJJCJI_00351 RNA polymerase-binding transcription factor CarD	158
GCF_002005145.1	EBEJJCJI_02021 hypothetical protein	147
GCF_002005145.1	EBEJJCJI_00172 IS30 family transposase ISCth3	348
GCF_002005145.1	EBEJJCJI_02166 Siroheme synthase	210
GCF_900110645.1	EBFDMGMA_03311 hypothetical protein	156
GCF_900110645.1	EBFDMGMA_00928 D-galactonate transporter	425
GCF_900110645.1	EBFDMGMA_03567 hypothetical protein	142
GCF_900110645.1	EBFDMGMA_03365 5-dehydro-2-deoxygluconokinase	345
GCF_900110645.1	EBFDMGMA_03263 RNA polymerase sigma factor FliA	181
GCF_000970285.1	EBFGOHKB_02917 N-alpha-acetyltransferase	189
GCF_000970285.1	EBFGOHKB_04022 2'-deoxynucleoside 5'-phosphate N-hydrolase 1	149
GCF_000970285.1	EBFGOHKB_03107 D-amino acid dehydrogenase	423
GCF_000970285.1	EBFGOHKB_02640 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	261
GCF_000970285.1	EBFGOHKB_03884 Tungsten-containing formylmethanofuran dehydrogenase 2 subunit G	87
GCF_002850375.1	EBFOFFJC_01054 BCCT family betaine/carnitine/choline transporter	197
GCF_002850375.1	EBFOFFJC_02161 dihydropteroate synthase chain A synthetase	267
GCF_002850375.1	EBFOFFJC_00604 Copper transport protein YcnJ	415
GCF_002850375.1	EBFOFFJC_00663 aldose 1-epimerase	336
GCF_002850375.1	EBFOFFJC_00482 hypothetical protein	97
GCF_900167125.1	EBGAMFCK_01766 Holliday junction ATP-dependent DNA helicase RuvA	202
GCF_900167125.1	EBGAMFCK_00570 hypothetical protein	380
GCF_900167125.1	EBGAMFCK_02911 hypothetical protein	146
GCF_900167125.1	EBGAMFCK_00292 Inosine-5'-monophosphate dehydrogenase	485
GCF_900167125.1	EBGAMFCK_00833 hypothetical protein	189
GCF_004364575.1	EBGBDLFP_01664 GTP-binding protein EngB	206
GCF_004364575.1	EBGBDLFP_01746 Serine-protein kinase RsbW	644
GCF_004364575.1	EBGBDLFP_02403 Protein-glutamate methylesterase/protein-glutamine glutaminase	237
GCF_004364575.1	EBGBDLFP_01188 hypothetical protein	66
GCF_004364575.1	EBGBDLFP_02123 Outer membrane protein assembly factor BamA	837
GCF_900142755.1	EBGJCKON_03650 Hydroxypyruvate isomerase	259
GCF_900142755.1	EBGJCKON_00422 Phosphoribosyl-AMP cyclohydrolase	148
GCF_900142755.1	EBGJCKON_02683 SOS response-associated protein YedK	228
GCF_900142755.1	EBGJCKON_01508 HTH-type transcriptional regulator CatM	328
GCF_900142755.1	EBGJCKON_01654 ADP-heptose--LPS heptosyltransferase 2	347
GCF_001656035.1	EBGOLNAN_02480 Protein FdhE	309
GCF_001656035.1	EBGOLNAN_01405 Thiazole synthase	261
GCF_001656035.1	EBGOLNAN_01588 Bifunctional aspartokinase/homoserine dehydrogenase 2	811
GCF_001656035.1	EBGOLNAN_01140 D-lactate dehydrogenase	331
GCF_001656035.1	EBGOLNAN_01944 putative hydrolase YcaC	225
GCA_028866895.1	EBHLPHNP_02487 hypothetical protein	419
GCA_028866895.1	EBHLPHNP_00627 4-phosphopantoate--beta-alanine ligase	248
GCA_028866895.1	EBHLPHNP_02246 hypothetical protein	89
GCA_028866895.1	EBHLPHNP_01653 Beta-barrel assembly-enhancing protease	270
GCA_028866895.1	EBHLPHNP_01018 hypothetical protein	92
GCF_018802465.1	EBIGDIMP_00666 Formate dehydrogenase H	139
GCF_018802465.1	EBIGDIMP_03133 tRNA pseudouridine synthase D	348
GCF_018802465.1	EBIGDIMP_02989 Transcriptional regulatory protein UhpA	209
GCF_018802465.1	EBIGDIMP_03169 Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	257
GCF_018802465.1	EBIGDIMP_03577 ADP-heptose--LPS heptosyltransferase 2	353
GCF_003002055.1	EBJBMPEG_02839 HTH-type transcriptional regulator BetI	234
GCF_003002055.1	EBJBMPEG_04820 Levodione reductase	264
GCF_003002055.1	EBJBMPEG_01686 hypothetical protein	231
GCF_003002055.1	EBJBMPEG_02028 hypothetical protein	253
GCF_003002055.1	EBJBMPEG_03149 Adaptive-response sensory-kinase SasA	623
GCF_000744285.1	EBJPJHIG_00013 Oligosaccharides import ATP-binding protein MsmX	367
GCF_000744285.1	EBJPJHIG_01988 hypothetical protein	145
GCF_000744285.1	EBJPJHIG_01216 HTH-type transcriptional regulator GlnR	121
GCF_000744285.1	EBJPJHIG_00558 6-phospho-beta-glucosidase GmuD	463
GCF_000744285.1	EBJPJHIG_02406 hypothetical protein	328
GCF_002980575.1	EBKEIGPA_00903 Lipid-A-disaccharide synthase	373
GCF_002980575.1	EBKEIGPA_01418 7-carboxy-7-deazaguanine synthase	207
